house age,distance to the nearest MRT, number of convenience stores,latitude,longitude,Price
132,26.6,482.7581,5,24.97433,121.53863,37.5
117,13.6,4197.349,0,24.93885,121.50383,13
146,0,185.4296,0,24.9711,121.5317,52.2
150,35.8,170.7311,7,24.96719,121.54269,48.5
282,2,1455.798,1,24.9512,121.549,25.6
135,18.9,1009.235,0,24.96357,121.54951,20.8
328,15.9,1497.713,3,24.97003,121.51696,23.6
306,14.4,169.9803,1,24.97369,121.52979,50.2
220,37.2,186.5101,9,24.97703,121.54265,78.3
297,34.9,567.0349,4,24.97003,121.5458,28.5
234,8,2216.612,4,24.96007,121.51361,23.9
43,34.4,512.7871,6,24.98748,121.54301,34.1
294,26.4,335.5273,6,24.9796,121.5414,38.1
113,14.8,393.2606,6,24.96172,121.53812,7.6
273,13.2,170.1289,1,24.97371,121.52984,29.3
38,3.1,577.9615,6,24.97201,121.54722,47.7
175,30.2,472.1745,3,24.97005,121.53758,36.5
49,29.4,4510.359,1,24.94925,121.49542,13.2
394,32.6,4136.271,1,24.95544,121.4963,24.7
107,12.2,1360.139,1,24.95204,121.54842,26.6
161,19.2,616.4004,3,24.97723,121.53767,39.6
240,11,1712.632,2,24.96412,121.5167,28.8
204,18,1414.837,1,24.95182,121.54887,26.6
208,11.5,1360.139,1,24.95204,121.54842,26.2
20,4.5,2275.877,3,24.96314,121.51151,29.3
340,33.6,270.8895,0,24.97281,121.53265,42.9
377,3.9,49.66105,8,24.95836,121.53756,56.8
247,21.7,1055.067,0,24.96211,121.54928,23.1
123,0,185.4296,0,24.9711,121.5317,45.5
69,12.5,561.9845,5,24.98746,121.54391,42
134,33.4,186.9686,6,24.96604,121.54211,42.2
200,17.4,995.7554,0,24.96305,121.54915,25.5
359,5.6,2408.993,0,24.95505,121.55964,24.7
129,38.5,216.8329,7,24.98086,121.54162,41
281,4.7,387.7721,9,24.98118,121.53788,44.8
178,13.1,1144.436,4,24.99176,121.53456,36.7
131,4,2147.376,3,24.96299,121.51284,30.7
27,10.4,276.449,5,24.95593,121.53913,33.6
120,13.3,492.2313,5,24.96515,121.53737,31.3
85,0,338.9679,9,24.96853,121.54413,50.8
232,27.1,4412.765,1,24.95032,121.49587,17.4
383,29.1,506.1144,4,24.97845,121.53889,40.3
143,13.6,492.2313,5,24.96515,121.53737,40.1
93,31.9,1146.329,0,24.9492,121.53076,16.1
36,14.7,1935.009,2,24.96386,121.51458,22.9
362,17.1,967.4,4,24.98872,121.53408,40
159,15.5,815.9314,4,24.97886,121.53464,37.4
9,17.9,1783.18,3,24.96731,121.51486,22.1
199,18.2,451.6419,8,24.96945,121.5449,31.6
30,25.9,4519.69,0,24.94826,121.49587,22.1
11,6.3,90.45606,9,24.97433,121.5431,58.1
168,27.6,515.1122,5,24.96299,121.5432,37.4
42,36.1,519.4617,5,24.96305,121.53758,34.7
353,4.1,2147.376,3,24.96299,121.51284,31.3
121,13.6,492.2313,5,24.96515,121.53737,48
142,19.8,640.6071,5,24.97017,121.54647,37.5
331,25.6,4519.69,0,24.94826,121.49587,15.6
172,6.6,90.45606,9,24.97433,121.5431,58.1
343,33.5,563.2854,8,24.98223,121.53597,46.6
287,19.2,461.1016,5,24.95425,121.5399,32.9
403,30.9,161.942,9,24.98353,121.53966,39.7
310,16.4,1643.499,2,24.95394,121.55174,24.7
16,0,292.9978,6,24.97744,121.54458,70.1
202,38.3,642.6985,3,24.97559,121.53713,31.5
105,0,292.9978,6,24.97744,121.54458,71
29,7.1,451.2438,5,24.97563,121.54694,57.1
308,16.4,289.3248,5,24.98203,121.54348,53
101,12.7,170.1289,1,24.97371,121.52984,32.9
22,14.7,1360.139,1,24.95204,121.54842,24.6
100,17.5,964.7496,4,24.98872,121.53411,38.2
125,1.1,193.5845,6,24.96571,121.54089,48.6
207,38.5,665.0636,3,24.97503,121.53692,34.2
391,6.2,1939.749,1,24.95155,121.55387,31.3
326,4.1,56.47425,7,24.95744,121.53711,62.1
408,18.5,2175.744,3,24.9633,121.51243,28.1
203,15.6,289.3248,5,24.98203,121.54348,46.1
314,3.7,577.9615,6,24.97201,121.54722,41.6
64,17.5,995.7554,0,24.96305,121.54915,25.3
137,13.6,319.0708,6,24.96495,121.54277,47.4
279,2.6,1554.25,3,24.97026,121.51642,31.1
407,5.2,2408.993,0,24.95505,121.55964,22.3
367,15,1828.319,2,24.96464,121.51531,20.9
382,16.3,3529.564,0,24.93207,121.51597,29.3
378,37.3,587.8877,8,24.97077,121.54634,37.4
63,2.6,533.4762,4,24.97445,121.54765,55
265,15.7,815.9314,4,24.97886,121.53464,38.1
58,30.3,4510.359,1,24.94925,121.49542,22.6
14,13.2,1164.838,4,24.99156,121.53406,34.3
136,11.4,390.5684,5,24.97937,121.54245,46.8
81,30.8,377.7956,6,24.96427,121.53964,36.8
395,21.2,512.5487,4,24.974,121.53842,42.5
206,22.2,379.5575,10,24.98343,121.53762,44
66,1,193.5845,6,24.96571,121.54089,50.7
15,35.7,579.2083,2,24.9824,121.54619,50.5
80,11.8,533.4762,4,24.97445,121.54765,40.3
149,34.9,179.4538,8,24.97349,121.54245,39.7
398,14.7,1717.193,2,24.96447,121.51649,23
227,32.4,265.0609,8,24.98059,121.53986,40.2
221,9,1402.016,0,24.98569,121.5276,38.5
413,6.5,90.45606,9,24.97433,121.5431,63.9
5,7.1,2175.03,3,24.96305,121.51254,32.1
216,37.8,590.9292,1,24.97153,121.53559,39.7
361,41.4,281.205,8,24.97345,121.54093,63.3
106,17.2,189.5181,8,24.97707,121.54308,47.1
304,20,1626.083,3,24.96622,121.51668,29.4
334,30,1013.341,5,24.99006,121.5346,22.8
156,30.7,1264.73,0,24.94883,121.52954,18.3
28,19.2,557.478,4,24.97419,121.53797,47
205,12.8,1449.722,3,24.97289,121.51728,21.4
269,17.6,837.7233,0,24.96334,121.54767,23
130,29.6,535.527,8,24.98092,121.53653,37.5
397,13.1,1164.838,4,24.99156,121.53406,32.2
226,16.5,4082.015,0,24.94155,121.50381,12.8
19,1.5,23.38284,7,24.96772,121.54102,47.7
78,38.2,552.4371,2,24.97598,121.53381,29.8
209,34.8,175.6294,8,24.97347,121.54271,40.9
188,34.8,190.0392,8,24.97707,121.54312,44.3
53,13.3,492.2313,5,24.96515,121.53737,38.9
262,15.9,289.3248,5,24.98203,121.54348,53
191,13.2,750.0704,2,24.97371,121.54951,37.8
79,18,1414.837,1,24.95182,121.54887,26.5
366,14.2,1801.544,1,24.95153,121.55254,24.8
110,8.1,104.8101,5,24.96674,121.54067,51.6
183,17,4082.015,0,24.94155,121.50381,18.8
133,18,373.3937,8,24.9866,121.54082,39.5
68,30.4,464.223,6,24.97964,121.53805,36.2
253,30.4,1735.595,2,24.96464,121.51623,25.9
242,2,2077.39,3,24.96357,121.51329,33.4
222,30.6,431.1114,10,24.98123,121.53743,48.5
293,12.6,383.2805,7,24.96735,121.54464,42.5
160,3.5,49.66105,8,24.95836,121.53756,57.8
376,14.7,1717.193,2,24.96447,121.51649,30.5
300,2.5,156.2442,4,24.96696,121.53992,36.9
236,3.6,373.8389,10,24.98322,121.53765,61.9
341,13,750.0704,2,24.97371,121.54951,37
72,32.5,424.5442,8,24.97587,121.53913,36.3
50,21.7,512.5487,4,24.974,121.53842,44.2
292,17.5,395.6747,5,24.95674,121.534,24.5
312,35.4,318.5292,9,24.97071,121.54069,78
18,16.9,368.1363,8,24.9675,121.54451,42.3
233,39.7,333.3679,9,24.98016,121.53932,32.4
